wordpiece,tokenized by seBERT
÷,[UNK]
ŋ,[UNK]
ŧ,[UNK]
ƛ,[UNK]
ɵ,[UNK]
ǝ,[UNK]
ɐ,[UNK]
ɔ,[UNK]
ɛ,[UNK]
ɢ,[UNK]
ɥ,[UNK]
ɪ,[UNK]
ɴ,[UNK]
ɹ,[UNK]
ʀ,[UNK]
ʇ,[UNK]
ʜ,[UNK]
ʟ,[UNK]
ʰ,[UNK]
ʳ,[UNK]
ʺ,[UNK]
ˆ,[UNK]
ˇ,[UNK]
ˈ,[UNK]
ˋ,[UNK]
˘,[UNK]
˙,[UNK]
˚,[UNK]
˛,[UNK]
˜,[UNK]
˝,[UNK]
ˢ,[UNK]
ζ,[UNK]
ξ,[UNK]
ψ,[UNK]
χ,[UNK]
ϕ,[UNK]
ϵ,[UNK]
ђ,[UNK]
ѕ,[UNK]
ј,[UNK]
ћ,[UNK]
ъ,[UNK]
є,[UNK]
҉,[UNK]
ґ,[UNK]
ә,[UNK]
ө,[UNK]
ז,[UNK]
ח,[UNK]
כ,[UNK]
ם,[UNK]
ע,[UNK]
פ,[UNK]
צ,[UNK]
׳,[UNK]
،,[UNK]
؟,[UNK]
ء,[UNK]
ة,[UNK]
ث,[UNK]
خ,[UNK]
ذ,[UNK]
ص,[UNK]
ض,[UNK]
ط,[UNK]
ظ,[UNK]
ـ,[UNK]
ق,[UNK]
ى,[UNK]
٠,[UNK]
١,[UNK]
٢,[UNK]
٣,[UNK]
٤,[UNK]
٥,[UNK]
٦,[UNK]
٨,[UNK]
٩,[UNK]
پ,[UNK]
چ,[UNK]
ں,[UNK]
ھ,[UNK]
ہ,[UNK]
ے,[UNK]
ە,[UNK]
۰,[UNK]
۱,[UNK]
۲,[UNK]
۳,[UNK]
۴,[UNK]
۵,[UNK]
अ,[UNK]
आ,[UNK]
ख,[UNK]
ग,[UNK]
च,[UNK]
ज,[UNK]
ट,[UNK]
ड,[UNK]
त,[UNK]
द,[UNK]
ध,[UNK]
प,[UNK]
ब,[UNK]
भ,[UNK]
म,[UNK]
य,[UNK]
ल,[UNK]
व,[UNK]
श,[UNK]
ष,[UNK]
स,[UNK]
ह,[UNK]
ी,[UNK]
ो,[UNK]
।,[UNK]
१,[UNK]
ক,[UNK]
ত,[UNK]
ন,[UNK]
ব,[UNK]
ম,[UNK]
য,[UNK]
র,[UNK]
ল,[UNK]
ি,[UNK]
ে,[UNK]
਍,[UNK]
ર,[UNK]
ા,[UNK]
அ,[UNK]
க,[UNK]
ச,[UNK]
ட,[UNK]
த,[UNK]
ன,[UNK]
ப,[UNK]
ம,[UNK]
ய,[UNK]
ர,[UNK]
ல,[UNK]
வ,[UNK]
ா,[UNK]
ி,[UNK]
ு,[UNK]
ெ,[UNK]
ே,[UNK]
ை,[UNK]
ం,[UNK]
త,[UNK]
న,[UNK]
ర,[UNK]
ల,[UNK]
ు,[UNK]
ಠ,[UNK]
ം,[UNK]
അ,[UNK]
ക,[UNK]
ങ,[UNK]
ച,[UNK]
ട,[UNK]
ണ,[UNK]
ത,[UNK]
ദ,[UNK]
ന,[UNK]
പ,[UNK]
ബ,[UNK]
മ,[UNK]
യ,[UNK]
ര,[UNK]
റ,[UNK]
ല,[UNK]
ള,[UNK]
വ,[UNK]
ഷ,[UNK]
സ,[UNK]
ാ,[UNK]
ി,[UNK]
ീ,[UNK]
െ,[UNK]
േ,[UNK]
ก,[UNK]
ค,[UNK]
ง,[UNK]
ณ,[UNK]
ด,[UNK]
ต,[UNK]
ถ,[UNK]
ท,[UNK]
บ,[UNK]
ป,[UNK]
ม,[UNK]
ย,[UNK]
ร,[UNK]
ล,[UNK]
ว,[UNK]
ส,[UNK]
ะ,[UNK]
ไ,[UNK]
ე,[UNK]
ვ,[UNK]
რ,[UNK]
ს,[UNK]
ᄈ,[UNK]
ᄊ,[UNK]
ᄍ,[UNK]
ᅰ,[UNK]
ᆮ,[UNK]
ᆿ,[UNK]
ᇂ,[UNK]
ន,[UNK]
ា,[UNK]
ᴀ,[UNK]
ᴄ,[UNK]
ᴅ,[UNK]
ᴇ,[UNK]
ᴍ,[UNK]
ᴏ,[UNK]
ᴘ,[UNK]
ᴛ,[UNK]
ᴜ,[UNK]
ᵃ,[UNK]
ᵉ,[UNK]
ᵒ,[UNK]
ᵗ,[UNK]
ᵢ,[UNK]
‖,[UNK]
“,[UNK]
”,[UNK]
‡,[UNK]
‣,[UNK]
‰,[UNK]
′,[UNK]
″,[UNK]
